Name,Area,Full_Address,Dining,Veg,zomato_reviews,zomato_ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Jyoti Vihar,"Camac Street Area, Kolkata","3A/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata",1,1,930,4.1,5498,South Indian Delicacies,"Milk Upma, Jyoti Vihar, Vada Sambar, Filtered Coffee, Curd Rice, Idli","South Indian Food, Good Crowd, Excellent Place, Fast Service, Great Recommendations, Quick Service",300
WOW! Momo,"Park Street Area, Kolkata","57, Park Street, Beside Vodafone Store, Park Street Area, Kolkata",1,0,469,4.1,11100,,"Tandoori Paneer Momos, Momo Platter, Chocolate Momo, Chicken Cheese Momo, Green Apple Mojito, Pan Fried Momos","Comfortable Seating Area, Staff Service, Family Place, Fancy Crowd, Customer Service, Friendly Staff",350
Zam Zam,"Park Circus Area, Kolkata","28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",1,0,1901,4.3,83100,,"Beef Malai, Beef Bhuna, Hariyali Chicken, Sahi Tukra, Mutton Rezala, Special Mutton Biryani","Ordering Process, Gastronomical Experience, Comfortable Seating Area, Relaxed Atmosphere, Good Delivery, Fancy Crowd",500
Daily Bhoj,"Topsia, Kolkata","139/1G, Tljala Road, Topsia, Kolkata",0,0,0,3.9,2260,,,"Great Portions, Worth the Money, Timely Service, Delicious Food, Good Food",150
Behnam,"Topsia, Kolkata","139/1G, Tiljala Road, Near OYO Townhouse 229, Topsia, Kolkata",0,0,0,2.9,151,,,"Worth the Money, Timely Service, Great Portions, Delicious Food",200
Dilnawaz Biryani Centre,"Tollygunge, Kolkata","28, Deshpran Shasmal Road, Ward 81 BR X, Near Charu Market Thana, Tollygunge, Kolkata",0,0,506,4,42500,,,"Comfort Food, Cute Little Place, Inexpensive, Low Price, Great Recommendations, Excellent Taste",200
Aminia,"New Market Area, Kolkata","6A, S.N. Banerjee Road, New Market Area, Kolkata",1,0,3271,3.9,1112,,"Rice Pudding, Mutton Galouti Kabab, Bhuna Chicken, Chicken Rezala, Mughlai Food, Firni","Gastronomical Experience, Good for Large Groups, Privacy, Ample Seating Area, Fancy Crowd, Prime Location",700
Haka,"Ballygunge, Kolkata","3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",0,0,0,4.4,712,,"Chicken Suimai, Crispy Chilli Baby Corn, Dumplings, Chinese Food, Fish","Cute Packaging, Proper Packaging, Food Presentation, Worth the Money, Great Portions, Timely Service",300
Arsalan,"Park Street Area, Kolkata","119A, Muzaffar Ahmed Street, Park Street Area, Kolkata",1,0,1367,4.2,9638,Biryani and Tandoor!,"Chicken Boneless Masala, Mutton Haleem, Special Mutton Biryani, Stew, Mughlai Food, Reshmi Kabab","Cost Worthy, Gastronomical Experience, Ample Seating Area, Authenticity, Affordable, Good Value",600
Domino's Pizza,"Park Street Area, Kolkata","31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata",1,0,133,4.1,3931,,,"Student Crowd, Good Music, Elaborate Menu, Customizable Food, Young Crowd, Preparation",400
